document_id,channel,issue,human_label,text,synthetic
CAMPUS-001,survey,transit,transit,The night bus was easy to use this week; comment 1 asks for a practical follow-up.,true
CAMPUS-002,forum,transit,transit,The shuttle stop needs clearer hours and directions; comment 2 asks for a practical follow-up.,true
CAMPUS-003,email,transit,transit,The bus arrival often has a long wait after class; comment 3 asks for a practical follow-up.,true
CAMPUS-004,feedback_form,transit,transit,The transit route worked better than I expected today; comment 4 asks for a practical follow-up.,true
CAMPUS-005,survey,transit,transit,The night bus was easy to use this week; comment 5 asks for a practical follow-up.,true
CAMPUS-006,forum,transit,transit,The shuttle stop needs clearer hours and directions; comment 6 asks for a practical follow-up.,true
CAMPUS-007,email,transit,transit,The bus arrival often has a long wait after class; comment 7 asks for a practical follow-up.,true
CAMPUS-008,feedback_form,transit,transit,The transit route worked better than I expected today; comment 8 asks for a practical follow-up.,true
CAMPUS-009,survey,transit,transit,The night bus was easy to use this week; comment 9 asks for a practical follow-up.,true
CAMPUS-010,forum,transit,transit,The shuttle stop needs clearer hours and directions; comment 10 asks for a practical follow-up.,true
CAMPUS-011,email,transit,transit,The bus arrival often has a long wait after class; comment 11 asks for a practical follow-up.,true
CAMPUS-012,feedback_form,transit,transit,The transit route worked better than I expected today; comment 12 asks for a practical follow-up.,true
CAMPUS-013,survey,transit,transit,The night bus was easy to use this week; comment 13 asks for a practical follow-up.,true
CAMPUS-014,forum,transit,transit,The shuttle stop needs clearer hours and directions; comment 14 asks for a practical follow-up.,true
CAMPUS-015,email,transit,transit,The bus arrival often has a long wait after class; comment 15 asks for a practical follow-up.,true
CAMPUS-016,feedback_form,transit,transit,The transit route worked better than I expected today; comment 16 asks for a practical follow-up.,true
CAMPUS-017,survey,study_space,study_space,The quiet library needs clearer hours and directions; comment 1 asks for a practical follow-up.,true
CAMPUS-018,forum,study_space,study_space,The group study room often has a long wait after class; comment 2 asks for a practical follow-up.,true
CAMPUS-019,email,study_space,study_space,The late study space worked better than I expected today; comment 3 asks for a practical follow-up.,true
CAMPUS-020,feedback_form,study_space,study_space,The library seat was easy to use this week; comment 4 asks for a practical follow-up.,true
CAMPUS-021,survey,study_space,study_space,The quiet library needs clearer hours and directions; comment 5 asks for a practical follow-up.,true
CAMPUS-022,forum,study_space,study_space,The group study room often has a long wait after class; comment 6 asks for a practical follow-up.,true
CAMPUS-023,email,study_space,study_space,The late study space worked better than I expected today; comment 7 asks for a practical follow-up.,true
CAMPUS-024,feedback_form,study_space,study_space,The library seat was easy to use this week; comment 8 asks for a practical follow-up.,true
CAMPUS-025,survey,study_space,study_space,The quiet library needs clearer hours and directions; comment 9 asks for a practical follow-up.,true
CAMPUS-026,forum,study_space,study_space,The group study room often has a long wait after class; comment 10 asks for a practical follow-up.,true
CAMPUS-027,email,study_space,study_space,The late study space worked better than I expected today; comment 11 asks for a practical follow-up.,true
CAMPUS-028,feedback_form,study_space,study_space,The library seat was easy to use this week; comment 12 asks for a practical follow-up.,true
CAMPUS-029,survey,study_space,study_space,The quiet library needs clearer hours and directions; comment 13 asks for a practical follow-up.,true
CAMPUS-030,forum,study_space,study_space,The group study room often has a long wait after class; comment 14 asks for a practical follow-up.,true
CAMPUS-031,email,study_space,study_space,The late study space worked better than I expected today; comment 15 asks for a practical follow-up.,true
CAMPUS-032,feedback_form,study_space,study_space,The library seat was easy to use this week; comment 16 asks for a practical follow-up.,true
CAMPUS-033,survey,accessibility,accessibility,The elevator access often has a long wait after class; comment 1 asks for a practical follow-up.,true
CAMPUS-034,forum,accessibility,accessibility,The automatic door worked better than I expected today; comment 2 asks for a practical follow-up.,true
CAMPUS-035,email,accessibility,accessibility,The accessible route was easy to use this week; comment 3 asks for a practical follow-up.,true
CAMPUS-036,feedback_form,accessibility,accessibility,The captioning support needs clearer hours and directions; comment 4 asks for a practical follow-up.,true
CAMPUS-037,survey,accessibility,accessibility,The elevator access often has a long wait after class; comment 5 asks for a practical follow-up.,true
CAMPUS-038,forum,accessibility,accessibility,The automatic door worked better than I expected today; comment 6 asks for a practical follow-up.,true
CAMPUS-039,email,accessibility,accessibility,The accessible route was easy to use this week; comment 7 asks for a practical follow-up.,true
CAMPUS-040,feedback_form,accessibility,accessibility,The captioning support needs clearer hours and directions; comment 8 asks for a practical follow-up.,true
CAMPUS-041,survey,accessibility,accessibility,The elevator access often has a long wait after class; comment 9 asks for a practical follow-up.,true
CAMPUS-042,forum,accessibility,accessibility,The automatic door worked better than I expected today; comment 10 asks for a practical follow-up.,true
CAMPUS-043,email,accessibility,accessibility,The accessible route was easy to use this week; comment 11 asks for a practical follow-up.,true
CAMPUS-044,feedback_form,accessibility,accessibility,The captioning support needs clearer hours and directions; comment 12 asks for a practical follow-up.,true
CAMPUS-045,survey,accessibility,accessibility,The elevator access often has a long wait after class; comment 13 asks for a practical follow-up.,true
CAMPUS-046,forum,accessibility,accessibility,The automatic door worked better than I expected today; comment 14 asks for a practical follow-up.,true
CAMPUS-047,email,accessibility,accessibility,The accessible route was easy to use this week; comment 15 asks for a practical follow-up.,true
CAMPUS-048,feedback_form,accessibility,accessibility,The captioning support needs clearer hours and directions; comment 16 asks for a practical follow-up.,true
CAMPUS-049,survey,food,food,The dining hall worked better than I expected today; comment 1 asks for a practical follow-up.,true
CAMPUS-050,forum,food,food,The food pantry was easy to use this week; comment 2 asks for a practical follow-up.,true
CAMPUS-051,email,food,food,The campus cafe needs clearer hours and directions; comment 3 asks for a practical follow-up.,true
CAMPUS-052,feedback_form,food,food,The meal option often has a long wait after class; comment 4 asks for a practical follow-up.,true
CAMPUS-053,survey,food,food,The dining hall worked better than I expected today; comment 5 asks for a practical follow-up.,true
CAMPUS-054,forum,food,food,The food pantry was easy to use this week; comment 6 asks for a practical follow-up.,true
CAMPUS-055,email,food,food,The campus cafe needs clearer hours and directions; comment 7 asks for a practical follow-up.,true
CAMPUS-056,feedback_form,food,food,The meal option often has a long wait after class; comment 8 asks for a practical follow-up.,true
CAMPUS-057,survey,food,food,The dining hall worked better than I expected today; comment 9 asks for a practical follow-up.,true
CAMPUS-058,forum,food,food,The food pantry was easy to use this week; comment 10 asks for a practical follow-up.,true
CAMPUS-059,email,food,food,The campus cafe needs clearer hours and directions; comment 11 asks for a practical follow-up.,true
