"split","document_id","text","human_label","recorded_llm_label","rationale"
"training","TR01","The campus shuttle skipped two stops this morning.","transit","",""
"training","TR02","Bus arrivals need to be more frequent after class.","transit","",""
"training","TR03","The night shuttle route no longer reaches my stop.","transit","",""
"training","TR04","Transit service is delayed near the residence halls.","transit","",""
"training","TR05","Please add another bus at the evening rush.","transit","",""
"training","SS01","The library reading room has no open desks.","study_space","",""
"training","SS02","We need more quiet study rooms during finals.","study_space","",""
"training","SS03","Group study tables are always occupied.","study_space","",""
"training","SS04","The study lounge closes too early.","study_space","",""
"training","SS05","Library seating is difficult to find at noon.","study_space","",""
"training","AC01","The elevator is broken and the stairs are the only route.","accessibility","",""
"training","AC02","The wheelchair ramp is blocked by construction fencing.","accessibility","",""
"training","AC03","The automatic door button does not work.","accessibility","",""
"training","AC04","Captions were missing from the event video.","accessibility","",""
"training","AC05","The accessible entrance is difficult to locate.","accessibility","",""
"training","FO01","The dining hall ran out of vegetarian meals.","food","",""
"training","FO02","Campus food options close before evening classes end.","food","",""
"training","FO03","The cafe needs clearer allergen labels.","food","",""
"training","FO04","Lunch lines at the dining hall are too long.","food","",""
"training","FO05","There are few affordable meals on campus.","food","",""
"training","SA01","The walkway is dark and feels unsafe at night.","safety","",""
"training","SA02","A broken light leaves the path unlit after dark.","safety","",""
"training","SA03","The emergency phone near the garage is not working.","safety","",""
"training","SA04","More lighting would make the late walk safer.","safety","",""
"training","SA05","The crosswalk signal is dangerous for pedestrians.","safety","",""
"training","SV01","The advising portal will not let me book an appointment.","services","",""
"training","SV02","My student ID replacement request is still pending.","services","",""
"training","SV03","The financial aid office has not answered my message.","services","",""
"training","SV04","The registration website keeps rejecting the form.","services","",""
"training","SV05","I cannot reach anyone at the campus help desk.","services","",""
"evaluation","EV01","The shuttle stopped arriving after 9 p.m.","transit","transit","The comment concerns the operating hours of the shuttle."
"evaluation","EV02","Love waiting forty minutes for the bus 🙃","transit","services","The writer complains about a long wait for a campus service."
"evaluation","EV03","Every seat in the library is taken again.","study_space","study_space","The comment concerns the availability of library seating."
"evaluation","EV04","So quiet in the reading room—unless you count the drilling.","study_space","safety","The drilling is described as a disruptive condition in the room."
"evaluation","EV05","The elevator outage blocks the only step-free route.","accessibility","accessibility","A broken elevator prevents use of a step-free route."
"evaluation","EV06","The access office form is not readable by my screen reader.","accessibility","services","The comment concerns an online form operated by a campus office."
"evaluation","EV07","Please label allergens on the cafe menu.","food","food","The request is about allergen information on a cafe menu."
"evaluation","EV08","Dinner service ends before my evening seminar.","food","food","The comment concerns the hours of dinner service."
"evaluation","EV09","It is not safe after 9 on the unlit path.","safety","safety","The comment explicitly describes an unsafe unlit path at night."
"evaluation","EV10","This crosswalk is SAFE?! Cars never stop.","safety","safety","The sarcastic wording describes cars failing to stop at a crosswalk."
"evaluation","EV11","The advising appointment page keeps crashing.","services","services","The advising appointment system is failing."
"evaluation","EV12","Where is my replacement campus ID card?","services","services","The comment asks about a campus ID replacement service."
